artistID	category	artist_category
12	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other']	Metal
13	['Electronic', 'Electronic', 'Other', 'Other', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other']	Electronic
14	['Other', 'Other', 'Experimental', 'Other', 'Electronic']	Experimental
15	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Classical', 'Metal', 'Metal', 'Metal', 'Other', 'Other', 'Metal']	Metal
16	['Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Other', 'Other', 'Other']	Experimental
17	['Other', 'Other', 'Other', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Metal']	Experimental
18	['Electronic', 'Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Rock', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Electronic
19	['Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Experimental
20	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal']	Metal
22	['Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Experimental']	Experimental
23	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Electronic', 'Experimental', 'Metal', 'Other', 'Other', 'Metal']	Metal
24	['Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other']	Experimental
25	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Other', 'Other']	Metal
26	['Other', 'Electronic', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Other']	Electronic
27	['Electronic', 'Electronic', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Electronic', 'Other', 'Other', 'Other', 'Other']	Experimental
28	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Other', 'Other', 'Metal', 'Metal']	Metal
29	['Electronic', 'Experimental', 'Experimental', 'Other', 'Other', 'Electronic', 'Other']	Electronic
30	['Metal', 'New Age', 'Experimental', 'Experimental', 'Pop', 'Pop', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Pop', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Electronic', 'Other', 'Other', 'Experimental', 'Other', 'World', 'Other', 'Classical', 'Pop', 'Other', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Electronic', 'Other', 'Electronic', 'Other', 'Other']	Pop
31	['Other', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic']	Electronic
32	['Metal', 'Experimental', 'Pop', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Pop', 'Other', 'Other', 'Other']	Pop
33	['Electronic', 'Electronic', 'Electronic']	Electronic
34	['Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Pop', 'Other', 'Other']	Pop
35	['Experimental', 'Experimental', 'Experimental', 'Experimental']	Experimental
36	['Metal', 'Metal', 'Metal', 'Metal', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Other', 'Other', 'Other']	Experimental
37	['Other', 'Other', 'Other', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Experimental
38	['Metal', 'Metal', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Experimental', 'Other']	Experimental
39	['Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Electronic
40	['Electronic', 'Electronic', 'Electronic', 'Pop', 'Pop', 'Pop', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'World', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Rock
41	['Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Electronic', 'Electronic', 'Electronic']	Electronic
43	['Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Experimental']	Experimental
44	['Other', 'Other', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Experimental
45	['Metal', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Punk', 'Electronic', 'Other', 'Other', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Punk', 'Other', 'Other']	Experimental
46	['Other', 'Other', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Other', 'Classical', 'Other']	Classical
47	['Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Metal', 'Experimental', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Metal', 'Metal', 'Other', 'Metal', 'Metal', 'Other', 'Other', 'Other', 'Other', 'Metal', 'Metal', 'Other']	Metal
48	['Other', 'Metal']	Metal
49	['Electronic', 'Electronic', 'Experimental', 'Experimental', 'Experimental', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic']	Electronic
50	['Metal', 'Metal', 'Experimental', 'Experimental', 'Other', 'Other']	Metal
51	['Other', 'New Age', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Reggae', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Electronic', 'Pop', 'Other', 'Other', 'Other', 'Hip-Hop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Folk', 'Folk', 'Rock', 'Soundtrack', 'Soundtrack', 'Folk', 'Folk', 'Electronic', 'Other', 'Other', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Punk', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Pop', 'Pop', 'Pop', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Pop', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Soundtrack', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Classical', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Punk', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Rock', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'New Age', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Pop
52	['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Pop', 'Pop', 'Other', 'Hip-Hop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Soundtrack', 'Other', 'Other', 'Jazz', 'Electronic', 'New Age', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Hip-Hop
53	['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'New Age', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Other', 'Other', 'Experimental', 'Pop', 'Reggae', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Jazz', 'Other', 'Other', 'Soundtrack', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Rock', 'Other', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Classical', 'Jazz', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'New Age', 'New Age', 'Other', 'Jazz', 'Punk', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Electronic', 'Other', 'R&B', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Other', 'Electronic', 'Other', 'Other', 'Other', 'New Age', 'Other']	Electronic
54	['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'New Age', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Hip-Hop', 'Pop', 'Pop', 'Other', 'Other', 'Hip-Hop', 'Hip-Hop', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Jazz', 'Other', 'Electronic', 'Other', 'Other', 'New Age', 'Other', 'Other', 'Soundtrack', 'Other', 'Electronic', 'Other', 'Other']	Hip-Hop
55	['Other', 'Experimental', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Reggae', 'Rock', 'Rock', 'Pop', 'Pop', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Electronic', 'Hip-Hop', 'Electronic', 'Electronic', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'R&B', 'R&B', 'R&B', 'Electronic', 'Electronic', 'Electronic', 'Other', 'Other', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Experimental', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Pop', 'Latin', 'Latin', 'Electronic', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Electronic', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Classical', 'Other', 'Other', 'Other', 'Other', 'Other', 'Classical', 'Electronic', 'R&B', 'R&B', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Pop', 'Punk', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Rock', 'Rock', 'Other', 'Other', 'Jazz', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Hip-Hop', 'Other', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Punk', 'Other', 'Pop', 'Pop', 'Pop', 'Other', 'Other', 'Pop', 'Other', 'Pop', 'Other', 'Soundtrack', 'Other', 'Other', 'Pop', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']	Pop
